transect_ID,subarea,organic,year,sparse_vegetation,broadleaved_woodland,shrubland,grassland,vineyards,X,Y,alternate_management,no_of_target_species,functional_insectivores_species,seed_eater_species,grape_eaters_species,abundance_insectivores,abundance_seed_eaters,abundance_grape_eaters
39,N,0,2018,13.5,0,0,0,29.8252754193,518349.5,4983054.8,0,6,1,0,2,1,0,2
40,N,0,2018,0,0,0,0,89.0189677492,516898.9,4982973,0,6,0,2,1,0,7,3
41,N,0,2018,0,0,0,0,41.9410696437,517384.2,4982693.8,0,19,7,4,5,9,10,14
42,N,0,2018,0,0,1.2046497228,0,82.5740381097,518362.6,4982569.1,0,4,1,1,1,1,3,2
43,N,0,2018,12.7758584221,0,8.810547839,71.2402171614,0,518021.7,4979034.9,0,9,4,1,1,6,8,2
45,N,0,2018,0,14.2283581038,33.9959146299,0,39.6196379517,515991.5,4977433.9,0,15,7,2,3,14,3,7
46,N,0,2018,0,2.1274794729,0,10.7615473604,78.8671372497028,515539.5,4975575.7,0,18,5,5,5,9,10,14
47,N,0,2018,0,0,29.1567787685,11.1942708699,34.4253317419,515961,4975707.2,0,20,10,5,2,20,9,6
48,N,0,2018,3.7318046423,1.1746192323,52.0429382341,11.1448322374,0.3428314506,516291.4,4976052.7,0,18,9,3,3,22,6,6
51,W,0,2018,4.3545002605,0,27.4113819764,12.843804132,0,506076,4970329.8,0,14,5,3,2,7,9,5
52,W,0,2018,0.5194369973,0.3183646113,31.6968275246,12.9021447721,0,505594.2,4970219.4,0,18,6,4,4,9,6,7
53,W,0,2018,16.0575905145,0,11.6479638648,0,0,505195.4,4969969,0,18,6,3,4,7,4,6
62,N,0,2018,2.8826897583,13.6236707754,42.3772318281,0,37.0067413195,517380.3,4979578.5,0,20,9,2,3,19,4,10
63,E,1,2018,0,1.2156857227,0,9.9337282436,45.4812792841,526886.4,4986251.1,1,14,5,2,4,7,3,13
64,W,1,2018,0,38.7016512101,11.15132323,3.1101560733,18.4347432708,500912.8,4972193.3,0,15,7,2,4,17,4,11
66,W,1,2018,0,10.4321489666,0,12.6760563380282,35.3118289064,500423.9,4973003.6,0,20,9,3,4,16,4,18
67,W,1,2018,0,24.5297109924,0,3.015486071,20.1502106613,500787.8,4972621.3,0,18,7,2,4,12,3,24
83,N,0,2018,0,3.362480463,0,4.2749123474,66.9792590715,515109.4,4984208.2,0,22,7,5,6,10,14,26
1,S,1,2019,0,1.3447657254,0,0.6723828627,45.7672368737,517497.2,4972228.9,1,18,8,3,4,9,5,9
2,N,0,2019,0,13.8518372296,13.2991173402,0,52.3942589578141,514759.7,4980602.2,0,24,10,6,3,19,13,15
4,E,0,2019,0,0.2087447109,4.101551481,0,88.0225669958,526134.3,4987476,0,10,1,2,3,1,6,21
5,E,0,2019,0,0,1.186557993,0,84.189114743,524170.2,4981433.8,0,19,6,5,6,10,14,29
6,E,0,2019,0,0.0846477244,0,6.843497644,71.4878493159169,524238,4982529.6,1,13,4,4,4,5,8,8
8,W,1,2019,0,37.3948868446,7.10536712,0,32.8968903437,500565.5,4972394,0,23,12,2,4,22,2,20
9,N,0,2019,4.5940728006,0,43.2011950226,0,35.6139287778,517775.2,4979587,0,28,15,2,5,35,4,21
10,E,0,2019,0,11.4202460004,0.0168109607,0,85.2035527164,524347.6,4983974.1,0,17,7,1,3,8,6,39
11,E,0,2019,8.821006146,0,0,0,85.5603842313,526705.6,4982601.3,0,12,4,3,2,5,9,25
12,E,0,2019,0,0,0,0,97.3574487266,525342.2,4982671.4,1,11,3,2,4,3,3,25
13,E,0,2019,9.83,0,0,15.0843121458,61.6847917285,526257,4983407.4,0,17,7,4,4,9,7,21
14,E,0,2019,0,0,0,0,82.6252217248,527480.7,4983330.9,0,11,4,2,2,6,3,21
15,E,1,2019,0,29.1485193172,2.8302817596,9.4323931949,45.9272414619,526310.5,4986438.6,0,12,6,0,4,14,0,12
16,E,1,2019,0,0,0,0,58.001578888,526249.4,4986727,1,17,8,3,4,11,7,18
17,N,0,2019,0,2.5307557118,0,2.4,77.3750439367,517337.4,4979891.6,0,22,10,3,6,10,5,10
18,N,0,2019,0,0,0,0,72.3383896659,517678.1,4980101.6,0,15,3,5,4,4,13,20
19,S,0,2019,0,20.9571675254,0,0,0,517835.3,4971412.4,0,20,9,2,3,14,4,5
20,S,1,2019,0,6.0019143066,22.8365519959,40.5101064129,0,518263.1,4972666.8,0,28,11,6,4,25,14,65
21,E,0,2019,0,0,0,0,53.942731614,523793.9,4984073.3,1,26,11,5,5,17,8,31
22,E,0,2019,0,0,5.7252446625,0,73.1533970725,524677.5,4984306.6,0,11,5,1,3,9,2,11
27,W,0,2019,0,0.0903814379,2.12765957446808,31.9927314253589,7.2192173532,505244,4964565.5,0,19,7,3,4,7,10,24
28,W,0,2019,0,0,3.87323943661972,6.3032750112,10,505977.7,4964712.1,0,18,6,4,3,12,9,5
29,W,0,2019,0,3.1112671113,0,3.5493155493,6.2618462618,505684,4965429.7,0,18,7,2,2,9,3,8
30,N,0,2019,1.650192898,0,18.1464898201,15.8824026358,6.9330629946,515176.8,4978379.8,0,19,8,3,3,18,8,3
31,N,0,2019,1.4065686757,0,7.1397425979,9.8741121035,40.6048245306,514961.4,4978673.5,0,11,6,2,0,7,4,0
32,N,0,2019,0,0,12.0124013529,25.2874859076,10.2536640361,514641.1,4978793.3,0,14,8,2,1,13,5,2
38,N,0,2019,0.4171952079,3.3601127555,10.407329105,3.6532769556,40.2480620155,515616.6,4978198.5,1,21,8,3,3,11,8,19
39,N,0,2019,0,0,0,0,43.3252754193,518349.5,4983054.8,0,14,2,5,2,4,10,9
40,N,0,2019,0,0,0,0,89.0189677492,516898.9,4982973,0,8,0,1,4,0,3,14
41,N,0,2019,0,0,0,0,41.9410696437,517384.2,4982693.8,0,17,7,3,5,8,8,34
42,N,0,2019,0,0,1.2046497228,0,82.5740381097,517384.2,4982693.8,0,11,3,3,2,3,7,11
43,N,0,2019,12.7758584221,0,8.810547839,71.2402171614,0,518021.7,4979034.9,0,10,3,1,2,7,5,4
45,N,0,2019,0,14.2283581038,33.9959146299,0,39.6196379517,515991.5,4977433.9,0,18,9,3,3,16,4,6
46,N,0,2019,0,2.1274794729,0,10.7615473604,78.8671372497028,515539.5,4975575.7,0,17,9,3,3,12,8,14
47,N,0,2019,0,0,29.1567787685,11.1942708699,34.4253317419,515961,4975707.2,0,23,13,4,1,20,7,4
48,N,0,2019,3.7318046423,1.1746192323,52.0429382341,11.1448322374,0.3428314506,516291.4,4976052.7,0,22,10,4,2,25,7,8
51,W,0,2019,4.3545002605,0,27.4113819764,12.843804132,0,506076,4970329.8,0,21,6,5,2,12,10,3
52,W,0,2019,0.5194369973,0.3183646113,31.6968275246,12.9021447721,0,505594.2,4970219.4,0,20,8,4,1,10,8,2
53,W,0,2019,16.0575905145,0,11.6479638648,0,0,505195.4,4969969,0,10,2,0,2,2,0,2
62,N,0,2019,23,13.6236707754,39,20,0,517380.3,4979578.5,1,32,15,4,6,33,8,23
63,E,0,2019,0,1.2156857227,0,9.9337282436,45.4812792841,526886.4,4986251.1,0,25,9,4,5,12,8,22
64,W,0,2019,0,38.7016512101,11.15132323,3.1101560733,18.4347432708,500912.8,4972193.3,0,20,10,3,4,14,4,26
66,W,1,2019,0,10.4321489666,0,12.67,35.3,500423.9,4973003.6,1,21,8,3,4,12,3,20
67,W,1,2019,0,24.5297109924,0,3.015486071,20.1502106613,500787.8,4972621.3,0,20,9,3,4,12,5,16
83,N,1,2019,0,3.362480463,0,4.2749123474,66.9792590715,515109.4,4984208.2,0,19,6,4,6,7,8,21
